name,phone
Roma,+77071234567
Dias,+77073334455
Perizat,+77778889900
Bek,+77777773245
Aruzhan,+77071230011
Dias,+77073334455
Bekzat,+77777773245
Perizat,+77778889900
Alikhan,+77071112233
Tomiris,+77070001234
Askar,+77075556677
Zhanar,+77079998877
Nursultan,+77073331122
Aidana,+77075559900
Ramazan,+77078883322
Malika,+77076664411
Erzhan,+77072223344
Ainur,+77079997766
Sanjar,+77076665544
Zhanel,+77074443322
Yerkezhan,+77079994433
Temirlan,+77070001112
Dana,+77072221100
Alua,+77073335566
Samat,+77075557788
Aliya,+77070009988
Yerkebulan,+77072220011
Aruzat,+77079992211
Nazym,+77074445566
Nurdaulet,+77071119922
Bibigul,+77079991133
Serik,+77073332211
Zhansaya,+77075556600
Miras,+77072224400
Zarina,+77071234512
Aibek,+77073337788
Gulnaz,+77078889911
Nurali,+77075551234
Shyngys,+77079990022
Kamila,+77074448899
Dias,+77070006611
Madina,+77079992200
Rakhat,+77073334400
Meruert,+77076660011
Nurzhan,+77071110055
Saltanat,+77078883300
Alisher,+77075554477
Botagoz,+77070001200
Erbol,+77079994455
Zhanel,+77072229900
Talgat,+77073339988
Dana,+77076668877
Zhanserik,+77075553366
Akerke,+77079996677
Arman,+77071116633
Aizhan,+77078881144
Yernar,+77072221188
Akbota,+77074445500
Nurai,+77070009922
Rustem,+77079993311
Aygerim,+77075557711
Bauyrzhan,+77073337700
Gaukhar,+77079995500
Tilek,+77072225577
Aruzhan,+77079997711
Yerbolat,+77075559922
Sholpan,+77072224488
Bekzat,+77074443322
Nazym,+77078889955
Serik,+77073335566
Aruzha,+77071112299
Adlet,+77070001177
Zhansaya,+77079991166
Alikhan,+77075556644
Zhibek,+77078880099
Nurbol,+77072221155
Moldir,+77074447733
Daulet,+77079992233
Aidana,+77070007788
Nursultan,+77075550099
Bibigul,+77071113322
Arsen,+77073332277
Tomiris,+77076667711
Yeldos,+77079990044
Anel,+77070002255
Sanjar,+77078881122
Raushan,+77072227799
Ayan,+77074445588
Kamilya,+77073330066
Azamat,+77075551188
Akniet,+77079993388
Ainur,+77071110022
Yerassyl,+77078885533
Aliya,+77070009900
Kuanysh,+77074449955
Daneliya,+77072228844
Zhandos,+77075557700
Aisulu,+77073338833
Samat,+77079997722
Gulzhan,+77071114411
Dias,+77070006600
Assem,+77078884400
Miras,+77073337711
Zhadyra,+77074448800
Aidos,+77079990077
Indira,+77075553300
Temirlan,+77072221133
Saule,+77070001234
Yerzhan,+77078883355
Zhanel,+77076665522
Adiya,+77073339999
Abzal,+77074442200
Gulim,+77070007700
Aruzhan,+77079990011
John,+77074443355
Moldir,+77078881234
Emily,+77075556677
Serik,+77073332255
Liam,+77070009988
Zhansaya,+77079991122
Olivia,+77072221100
Daulet,+77074447711
Noah,+77079992255
Aidana,+77070007799
Emma,+77075559966
Bibigul,+77071113333
James,+77073338899
Alikhan,+77075556644
Sophia,+77072224488
Tomiris,+77076667788
Henry,+77078889977
Yerbolat,+77079997733
Ava,+77070001222
Aruzha,+77071112211
Mason,+77074440000
Sholpan,+77072223322
Amelia,+77079993300
Yeldos,+77075557733
Isabella,+77073330055
Anel,+77070002277
Logan,+77078881111
Sanjar,+77072227744
Mia,+77074445566
Aliya,+77070009955
Benjamin,+77079994488
Raushan,+77078884422
Charlotte,+77076665500
Kuanysh,+77074449911
Lucas,+77075553344
Daneliya,+77072228800
Harper,+77079997744
Zhandos,+77075557788
Ella,+77071114422
Assem,+77073336699
Ethan,+77070006666
Miras,+77073337777
Grace,+77078883388
Zhadyra,+77074448811
Daniel,+77070001234
Indira,+77079990066
Aisulu,+77070001211
William,+77078880000
